DeviceID,Time,Rotation,Temperature,Vibration,Sound,Faulty
4,2016-01-03 06:20:39,666.7,38.7,113.1,50.9,0
1,2016-01-03 10:11:38,640.5,36.4,172.0,50.5,0
4,2016-01-03 17:04:10,520.3,40.7,145.3,51.3,0
6,2016-06-15 11:56:48,556.6,47.6,154.0,59.9,1
6,2016-05-04 09:30:30,414.2,52.5,200.9,59.8,1
3,2016-01-03 02:13:05,602.8,44.8,151.3,45.2,0
5,2016-01-12 21:59:39,505.6,51.2,136.1,55.3,1
2,2016-01-03 20:23:48,549.5,36.0,151.0,45.7,0
2,2016-01-01 04:50:12,695.8,41.3,108.0,48.0,0
5,2016-07-14 00:08:17,598.9,43.1,218.2,49.2,1
6,2016-09-03 10:33:50,521.8,54.0,107.0,59.5,1
4,2016-01-03 05:21:59,643.6,37.6,166.9,50.5,0
3,2016-01-01 19:55:35,502.5,40.1,174.4,49.8,0
2,2016-01-01 10:46:14,612.8,35.1,164.9,51.6,0
3,2016-01-01 12:10:20,531.5,44.6,186.1,49.6,0
5,2016-09-26 11:04:27,415.3,40.6,125.6,45.2,1
6,2016-04-13 15:39:32,627.0,45.6,197.5,48.3,1
4,2016-01-03 08:18:21,631.0,37.2,149.5,49.1,0
5,2016-07-02 11:20:32,629.4,36.7,213.9,50.2,1
3,2016-01-03 12:20:42,658.2,36.8,124.9,49.6,0
1,2016-01-01 16:58:19,596.8,35.3,157.1,51.0,0
4,2016-01-02 11:49:33,605.4,41.1,189.9,48.3,0
6,2016-11-11 11:22:18,493.5,40.4,118.3,53.0,1
3,2016-01-03 02:58:11,641.1,40.6,130.8,45.0,0
6,2016-09-19 13:00:57,445.3,38.7,204.4,47.5,1
5,2016-11-15 15:43:18,648.5,42.7,157.3,46.8,1
5,2016-06-21 05:34:50,400.3,37.4,152.8,57.7,1
6,2016-08-02 14:36:27,464.3,49.3,159.5,54.6,1
1,2016-01-03 17:07:22,669.2,44.8,102.8,46.7,0
6,2016-09-28 22:54:45,428.7,49.4,196.8,59.9,1
6,2016-10-01 04:43:06,504.0,40.3,239.4,48.4,1
6,2016-01-05 10:35:52,531.7,50.7,204.0,48.3,1
2,2016-01-02 06:39:25,679.3,40.7,169.9,49.0,0
5,2016-01-03 05:30:05,540.4,45.0,143.0,59.3,1
4,2016-01-01 19:58:04,507.7,40.2,125.0,46.2,0
5,2016-07-30 16:35:44,439.8,35.5,137.2,50.4,1
5,2016-04-16 00:48:34,590.6,54.9,124.5,47.3,1
6,2016-01-28 00:46:38,411.4,52.8,231.8,51.7,1
5,2016-12-30 15:07:02,640.9,36.7,226.8,47.2,1
5,2016-08-12 22:44:30,646.3,47.6,127.6,54.1,1
2,2016-01-03 21:24:02,659.4,39.5,105.2,46.3,0
2,2016-01-02 19:08:32,671.3,41.3,171.0,50.9,0
5,2016-02-09 15:33:15,565.5,50.0,159.7,46.3,1
6,2016-09-24 00:31:18,473.7,42.8,174.9,56.9,1
6,2016-08-25 19:53:27,523.2,38.6,142.9,47.1,1
5,2016-03-21 17:55:04,622.2,45.7,237.0,55.9,1
5,2016-08-31 09:57:07,626.8,52.6,188.3,48.3,1
6,2016-07-12 14:15:19,472.9,51.9,250.0,55.8,1
6,2016-04-17 09:49:33,583.4,48.6,107.1,58.4,1
6,2016-12-08 14:24:27,407.0,46.5,224.2,45.5,1
2,2016-01-02 19:29:50,661.2,42.6,170.9,50.5,0
